Direccion,Latitud,Longitud,acumulado
227,calle 110 93 91,10.9509148,-74.8342695,1
228,calle 110 96,10.9509148,-74.8342695,3
229,calle 110 96 126,10.9509148,-74.8342695,1
230,calle 111 31,11.0391611,-74.8277248,3
231,calle 111 36,11.0391611,-74.8277248,1
232,calle 111 37,11.0391611,-74.8277248,3
233,calle 111 37 38,11.0391611,-74.8277248,1
234,calle 111 38,11.0391611,-74.8277248,1
235,calle 112 27 57,10.9961931,-74.8416453,1
236,calle 112 38,10.9961931,-74.8416453,1
237,calle 112 41,10.9961931,-74.8416453,1
238,calle 112 42,10.9961931,-74.8416453,1
239,calle 112 42 19,10.9961931,-74.8416453,2
240,calle 112 42 93,10.9961931,-74.8416453,1
241,calle 112 43 ,10.9961931,-74.8416453,1
242,calle 113 29,10.9913941,-74.8426969,1
243,calle 113 38,10.9913941,-74.8426969,1
244,calle 113 82,10.9913941,-74.8426969,1
245,calle 114 36,10.9921693,-74.8437026,2
246,calle 114 42,10.9921693,-74.8437026,1
247,calle 114 43 26,10.9921693,-74.8437026,1
248,calle 115 10,10.9720259,-74.8433191,1
249,calle 115 11 12,10.9720259,-74.8433191,1
250,calle 115 113,10.9720259,-74.8433191,1
251,calle 115 34,10.9720259,-74.8433191,1
252,calle 115 37,10.9720259,-74.8433191,1
253,calle 115 38,10.9720259,-74.8433191,2
254,calle 116 37,10.9755134,-74.8409131,1
255,calle 116 38,10.9755134,-74.8409131,1
256,calle 116 42,10.9755134,-74.8409131,1
257,calle 117 18,10.9950067,-74.8471934,1
258,calle 117 22,10.9950067,-74.8471934,1
259,calle 117 31,10.9950067,-74.8471934,1
260,calle 117 34,10.9950067,-74.8471934,1
261,calle 117 37,10.9950067,-74.8471934,1
262,calle 117 42,10.9950067,-74.8471934,1
263,calle 118 11,10.9935901,-74.8487755,1
264,calle 118 36,10.9935901,-74.8487755,2
265,calle 118 38,10.9935901,-74.8487755,1
266,calle 119 10 8,10.960256,-74.8420842,1
267,calle 119 14,10.960256,-74.8420842,1
268,calle 120 26,10.9786485,-74.8436923,1
269,calle 120 31,10.9786485,-74.8436923,1
270,calle 120 37,10.9786485,-74.8436923,3
271,calle 120 9,10.9786485,-74.8436923,1
272,calle 121 26,10.9770694,-74.84437908629069,1
273,calle 122 25,10.9753696,-74.8460376,1
274,calle 123 26,10.9774578,-74.8460093,1
275,calle 123 26 31,10.9774578,-74.8460093,1
276,calle 124 38,10.96033,-74.8459389,2
277,calle 128 9,10.9540051,-74.8521517,1
278,calle 13 24,10.9533655,-74.7716622,1
279,calle 13 78,10.9533655,-74.7716622,1
280,calle 130 8,10.9546008,-74.8545188,2
281,calle 131 71,10.9607357,-74.855277,1
282,calle 131 9,10.9607357,-74.855277,1
283,calle 134 34,10.9588091,-74.857817,1
284,calle 138 9,10.9556,-74.8664987,1
285,calle 14 10,11.0259486,-74.8687257,1
286,calle 14 10 ,11.0259486,-74.8687257,1
287,calle 14 11,10.9607916,-74.7734465,1
288,calle 14 11 33,10.9607916,-74.7734465,1
289,calle 14 12 118,10.9607916,-74.7734465,1
290,calle 14 13,10.9607916,-74.7734465,3
291,calle 14 13 22,10.9607916,-74.7734465,1
292,calle 14 16 191,10.9607916,-74.7734465,1
293,calle 14 16 37,10.9607916,-74.7734465,1
294,calle 14 17,10.9607916,-74.7734465,2
295,calle 14 18,10.9607916,-74.7734465,1
296,calle 14 20,10.95267725,-74.78736589549254,1
297,calle 14 21,11.02886895,-74.86657828592413,2
298,calle 14 23,10.9607916,-74.7734465,1
299,calle 14 25,10.9607916,-74.7734465,1
300,calle 1410 6 400,10.9709899,-74.76533110667293,1
301,calle 143 30,10.9595102,-74.8662557,1
302,calle 15 5,10.9658005,-74.7740177,1
303,calle 15 60,10.9658005,-74.7740177,1
304,calle 16 26,10.9663665,-74.774516,2
305,calle 16 29,10.9663378,-74.77420462329869,1
306,calle 16 8,10.9663665,-74.774516,1
307,calle 17 1 ,10.9615484,-74.7749678,1
308,calle 17 10,11.0340135,-74.8662685,1
309,calle 17 11,10.9615484,-74.7749678,1
310,calle 17 12,10.9615484,-74.7749678,6
311,calle 17 12 21,10.9615484,-74.7749678,2
312,calle 17 13,10.9615484,-74.7749678,1
313,calle 17 14,10.9615484,-74.7749678,1
314,calle 17 15,10.9615484,-74.7749678,13
315,calle 17 16,10.9615484,-74.7749678,3
316,calle 17 17,11.03002195,-74.86790929662553,7
317,calle 17 17 31,10.9615484,-74.7749678,2
318,calle 17 18,10.9615484,-74.7749678,3
319,calle 17 18 33,10.9615484,-74.7749678,1
320,calle 17 18 41,10.9615484,-74.7749678,1
321,calle 17 19,10.9615484,-74.7749678,8
322,calle 17 20,10.9615484,-74.7749678,1
323,calle 17 21,10.9615484,-74.7749678,4
324,calle 17 21 25,10.9615484,-74.7749678,1
325,calle 17 22,10.9615484,-74.7749678,3
326,calle 17 22 31,10.9615484,-74.7749678,1
327,calle 17 23,10.9615484,-74.7749678,7
328,calle 17 23 103,10.9615484,-74.7749678,1
329,calle 17 23 28,10.9615484,-74.7749678,1
330,calle 17 24,10.9615484,-74.7749678,4
331,calle 17 24 21,10.9615484,-74.7749678,1
332,calle 17 24 46,10.9615484,-74.7749678,1
333,calle 17 25,10.9615484,-74.7749678,6
334,calle 17 25 20,10.9615484,-74.7749678,1
335,calle 17 25 71,10.9615484,-74.7749678,1
336,calle 17 26,11.0283219,-74.8711955,5
337,calle 17 26 57,10.9615484,-74.7749678,1
338,calle 17 27,10.9615484,-74.7749678,1
339,calle 17 28 32,10.9615484,-74.7749678,1
340,calle 17 29,10.96704005,-74.77529677113795,4
341,calle 17 29 168,10.9615484,-74.7749678,2
342,calle 17 29 174,10.96704005,-74.77529677113795,1
343,calle 17 29 30,10.9502489,-74.7737279,2
344,calle 17 29 40,10.9615484,-74.7749678,1
345,calle 17 29 52,10.9615484,-74.7749678,1
346,calle 17 29 69,10.9615484,-74.7749678,1
347,calle 17 2969,10.9659105,-74.7751132,1
348,calle 17 30,10.9502489,-74.7737279,14
349,calle 17 30 194,10.9502489,-74.7737279,1
350,calle 17 32,10.9615484,-74.7749678,2
351,calle 17 32 17,10.9615484,-74.7749678,1
352,calle 17 32 30,10.9502489,-74.7737279,1
353,calle 17 32 34,10.9615484,-74.7749678,1
354,calle 17 33,10.9615484,-74.7749678,3
355,calle 17 33 08,10.9615484,-74.7749678,1
356,calle 17 34,10.9615484,-74.7749678,2
357,calle 17 34 13,10.9615484,-74.7749678,1
358,calle 17 35,10.9615484,-74.7749678,10
359,calle 17 35 101,10.9659105,-74.7751132,2
360,calle 17 35 15,10.9615484,-74.7749678,1
361,calle 17 35 44,10.9615484,-74.7749678,1
362,calle 17 38,10.9615484,-74.7749678,8
363,calle 17 39,10.9615484,-74.7749678,1
364,calle 17 5,10.9615484,-74.7749678,1
365,calle 17 51,10.9615484,-74.7749678,1
366,calle 17 7,10.9615484,-74.7749678,7
367,calle 17 7 106,10.9615484,-74.7749678,1
368,calle 17 7 150,10.9615484,-74.7749678,1
369,calle 17 7 224,10.9615484,-74.7749678,1
370,calle 17 8,10.9615484,-74.7749678,54
371,calle 17 9,10.9615484,-74.7749678,2
372,calle 18 14,10.9508385,-74.7743787,1
373,calle 18 17,10.9508385,-74.7743787,1
374,calle 18 7,11.0302584,-74.8710295,1
375,calle 19 01,10.9388456,-74.7789853,2
376,calle 19 1,10.9437542,-74.7769227,74
377,calle 19 1 ,10.9437542,-74.7769227,1
378,calle 19 1 45,10.9437542,-74.7769227,1
379,calle 19 10,11.0362412,-74.8681329,1
380,calle 19 14,10.9437542,-74.7769227,1
381,calle 19 16,10.9437542,-74.7769227,2
382,calle 19 16 14,10.9437542,-74.7769227,1
383,calle 19 17,10.9437542,-74.7769227,1
384,calle 19 2,10.9437542,-74.7769227,20
385,calle 19 2 06,10.9437542,-74.7769227,1
386,calle 19 2 49,10.9437542,-74.7769227,1
387,calle 19 25,10.9437542,-74.7769227,1
388,calle 19 3,10.9437542,-74.7769227,18
389,calle 19 3 07,10.9437542,-74.7769227,1
390,calle 19 3 10,10.9437542,-74.7769227,1
391,calle 19 3 15,10.9437542,-74.7769227,1
392,calle 19 3 22,10.9437542,-74.7769227,1
393,calle 19 3 3,10.9437542,-74.7769227,1
394,calle 19 3 30,10.9437542,-74.7769227,1
395,calle 19 30,10.9437542,-74.7769227,4
396,calle 19 4,10.94085415,-74.777919,28
397,calle 19 4 4,10.9437542,-74.7769227,1
398,calle 19 5,10.9437542,-74.7769227,19
399,calle 19 5 18,10.9437542,-74.7769227,1
400,calle 19 59,10.9437542,-74.7769227,1
401,calle 19 6,10.9660088,-74.7759102,20
402,calle 19 6 20,10.9660088,-74.7759102,1
403,calle 19 6 7,10.9660088,-74.7759102,2
404,calle 19 7,11.0362412,-74.8681329,30
